id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
7569343,Pokemon 1998 KFC,Charizard #6,$34.99,$24.25,$90.00,$153.05,$199.99,$405.00,$527.00,$324.00,$243.00,,,$15.20,$37.99,$8.10,$26.99,$39.60,$98.99,,37,Pokemon Card,,,,1998-06-01
7569401,Pokemon 1998 KFC,Dragonite #149,$15.99,$22.00,$74.99,$75.00,$83.00,$241.23,$314.00,$193.00,$145.00,,,$4.50,$17.99,$7.20,$23.99,$32.80,$81.99,,45,Pokemon Card,,,,1998-06-01
7569338,Pokemon 1998 KFC,Ivysaur #2,$13.05,$19.00,$23.99,$41.65,$46.00,$198.50,$258.00,$159.00,$119.00,,,$3.50,$13.99,$6.30,$20.99,$7.80,$25.99,,160,Pokemon Card,,,,1998-06-01
7569353,Pokemon 1998 KFC,Onix #95,$8.58,,$14.31,$16.11,$18.00,$125.35,$163.00,$100.00,$75.00,,,$1.90,$9.39,,,$4.00,$15.99,,23,Pokemon Card,,,,1998-06-01
7569349,Pokemon 1998 KFC,Pikachu #25,$16.10,$17.50,$43.39,$97.25,$107.00,$255.76,$332.00,$205.00,$153.00,,,$4.50,$17.99,$4.80,$18.99,$19.20,$47.99,,33,Pokemon Card,,,,1998-06-01
7569358,Pokemon 1998 KFC,Scyther #123,$15.99,$8.00,$9.50,$64.99,$71.00,$111.10,$144.00,$89.00,$67.00,,,$4.50,$17.99,$1.80,$8.79,$2.00,$9.99,,34,Pokemon Card,,,,1998-06-01
7569365,Pokemon 1998 KFC,Snorlax #143,$23.49,$67.00,,$66.13,$73.00,$169.01,$220.00,$135.00,$101.00,,,$7.80,$25.99,$29.60,$73.99,,,,35,Pokemon Card,,,,1998-06-01
3560771,Pokemon 1999 Topps Movie,A Call to Arms #16,$0.99,$1.25,$2.24,$8.97,$13.35,$100.00,$130.00,$80.00,$60.00,,,,$1.09,,$1.39,,$2.49,,9,Pokemon Card,,,,1999-06-01
3560772,Pokemon 1999 Topps Movie,A Call to Arms [Foil] #16,$3.43,$6.04,,$8.44,$9.00,,,,,,,$0.80,$3.79,$1.30,$6.59,,,,3,Pokemon Card,,,,1999-06-01
3560773,Pokemon 1999 Topps Movie,A Call to Arms [Rainbow Foil] #16,$10.00,,$38.99,,,,,,,,,$2.80,$10.99,,,$17.20,$42.99,,8,Pokemon Card,,,,1999-06-01
3560910,Pokemon 1999 Topps Movie,A Great Day #58,$1.52,,$17.91,$25.00,$28.00,$84.89,$110.00,$37.37,$51.00,,,,$1.69,,,$5.00,$19.99,,10,Pokemon Card,,,,1999-06-01
3560911,Pokemon 1999 Topps Movie,A Great Day [Corrected] #58,,,$10.02,,,,,,,,,,,,,$2.80,$10.99,,1,Pokemon Card,,,,1999-06-01
3560912,Pokemon 1999 Topps Movie,A Great Day [Foil] #58,$4.49,$17.00,$21.50,$23.00,$25.00,,,,,,,$1.00,$4.89,$4.80,$18.99,$7.20,$23.99,,8,Pokemon Card,,,,1999-06-01
3560913,Pokemon 1999 Topps Movie,A Great Day [Rainbow Foil] #58,$2.25,,$13.42,$32.00,$35.00,,,,,,,,$2.49,,,$3.80,$14.99,,2,Pokemon Card,,,,1999-06-01
3560748,Pokemon 1999 Topps Movie,Ash and Company #9,$1.42,$9.99,$10.50,$29.08,$32.00,$124.50,$162.00,$100.00,$75.00,,,,$1.59,$2.80,$10.99,$3.00,$11.99,,11,Pokemon Card,,,,1999-06-01
3560749,Pokemon 1999 Topps Movie,Ash and Company [Foil] #9,$3.51,$10.25,$21.50,$22.02,$24.00,$64.00,$83.00,$27.00,$38.00,,,$0.80,$3.89,$2.80,$10.99,$7.20,$23.99,,15,Pokemon Card,,,,1999-06-01
